CustomerID,SegmentName,Rank,Recommended,Method
12346,Loyal,1,REGENCY CAKESTAND 3 TIER,Segment Fallback
12346,Loyal,2,WHITE HANGING HEART T-LIGHT HOLDER,Segment Fallback
12346,Loyal,3,PARTY BUNTING,Segment Fallback
12346,Loyal,4,PACK OF 72 RETROSPOT CAKE CASES,Segment Fallback
12346,Loyal,5,JUMBO BAG RED RETROSPOT,Segment Fallback
12347,Loyal,1,PACK OF 72 RETROSPOT CAKE CASES,Collaborative Filtering
12347,Loyal,2,LUNCH BAG RED RETROSPOT,Collaborative Filtering
12347,Loyal,3,SET OF 3 REGENCY CAKE TINS,Collaborative Filtering
12347,Loyal,4,LUNCH BAG SPACEBOY DESIGN ,Collaborative Filtering
12347,Loyal,5,LUNCH BAG ALPHABET DESIGN,Collaborative Filtering
12348,Loyal,1,PACK OF 72 RETROSPOT CAKE CASES,Collaborative Filtering
12348,Loyal,2,PACK OF 60 DINOSAUR CAKE CASES,Collaborative Filtering
12348,Loyal,3,PACK OF 60 SPACEBOY CAKE CASES,Collaborative Filtering
12348,Loyal,4,SET OF 60 PANTRY DESIGN CAKE CASES ,Collaborative Filtering
12348,Loyal,5,SET OF 60 VINTAGE LEAF CAKE CASES ,Collaborative Filtering
12350,Lost,1,WHITE HANGING HEART T-LIGHT HOLDER,Segment Fallback
12350,Lost,2,REGENCY CAKESTAND 3 TIER,Segment Fallback
12350,Lost,3,ASSORTED COLOUR BIRD ORNAMENT,Segment Fallback
12350,Lost,4,NATURAL SLATE HEART CHALKBOARD ,Segment Fallback
12350,Lost,5,PARTY BUNTING,Segment Fallback
12352,Loyal,1,RECIPE BOX PANTRY YELLOW DESIGN,Collaborative Filtering
12352,Loyal,2,PACK OF 72 RETROSPOT CAKE CASES,Collaborative Filtering
12352,Loyal,3,JAM MAKING SET WITH JARS,Collaborative Filtering
12352,Loyal,4,WHITE HANGING HEART T-LIGHT HOLDER,Collaborative Filtering
12352,Loyal,5,PARTY BUNTING,Collaborative Filtering
12353,Lost,1,WHITE HANGING HEART T-LIGHT HOLDER,Segment Fallback
12353,Lost,2,REGENCY CAKESTAND 3 TIER,Segment Fallback
12353,Lost,3,ASSORTED COLOUR BIRD ORNAMENT,Segment Fallback
