CustomerID,Recency,Frequency,Monetary,UniqueProducts,PurchaseSpread,AvgOrderValue,LogMonetary,LogAvgOrderValue,IsOneTimeBuyer,AvgDaysBetweenPurchases,Q1_Orders,Q2_Orders,Q3_Orders,PurchaseTrend,ActiveInQ3,Churn,ChurnProbability,ChurnPredicted,Segment,SegmentName
12346,255,1,77183.6,1,0,77183.6,11.253955234248428,11.253955234248428,1,0.0,1.0,0.0,0.0,-1.0,0,1,0.90773946,1,0,Loyal
12347,59,5,2790.86,82,237,22.50693548387097,7.934463319358572,3.1572955045819473,0,59.25,1.0,2.0,1.0,0.0,1,0,0.14233671,0,0,Loyal
12348,5,4,1797.24,22,282,57.97548387096774,7.494563687769957,4.0771218299394825,0,94.0,1.0,1.0,1.0,0.0,1,1,0.20900568,0,0,Loyal
12350,240,1,334.4,17,0,19.670588235294115,5.815323849389109,3.0287118316967807,1,0.0,1.0,0.0,0.0,-1.0,0,1,0.83442384,1,1,Lost
12352,2,7,2194.31,47,224,31.34728571428571,7.694078545605581,3.4765301136952864,0,37.333333333333336,5.0,0.0,2.0,-3.0,1,0,0.23744045,0,0,Loyal
12353,134,1,89.0,4,0,22.25,4.499809670330265,3.1463051320333655,1,0.0,0.0,1.0,0.0,0.0,0,1,0.7403168,1,1,Lost
12354,162,1,1079.4,58,0,18.610344827586207,6.985086621918461,2.97605722432628,1,0.0,0.0,1.0,0.0,0.0,0,1,0.5343358,1,1,Lost
12355,144,1,459.4,13,0,35.33846153846154,6.132095676847728,3.5928767268616704,1,0.0,0.0,1.0,0.0,0.0,0,1,0.72851926,1,1,Lost
12356,175,2,2753.08,53,80,48.29964912280702,7.920838727523195,3.8979169638388753,0,80.0,1.0,1.0,0.0,-1.0,0,0,0.45227477,0,3,At-Risk
12358,80,1,484.86,12,0,40.405,6.185920516557937,3.723401646485664,1,0.0,0.0,0.0,1.0,1.0,1,0,0.6540267,1,3,At-Risk
12359,119,3,3495.73,135,141,24.445664335664336,8.159583525046289,3.2365453683918286,0,70.5,2.0,1.0,0.0,-2.0,0,0,0.31990802,0,0,Loyal
12360,42,2,1618.28,63,88,21.577066666666667,7.38973688498728,3.1169346418091037,0,88.0,0.0,1.0,1.0,1.0,1,0,0.32192472,0,3,At-Risk
12361,217,1,189.9,10,0,18.99,5.251749730731702,2.995232148512309,1,0.0,1.0,0.0,0.0,-1.0,0,1,0.7122878,1,1,Lost
12362,2,5,2577.34,121,223,17.774758620689656,7.854901059985359,2.9325133411462305,0,55.75,1.0,1.0,3.0,2.0,1,0,0.26249805,0,0,Loyal
12363,39,2,552.0,23,132,24.0,6.315358001522335,3.218875824868201,0,132.0,0.0,1.0,1.0,1.0,1,1,0.53711164,1,3,At-Risk
12364,8,2,703.72,34,34,19.547777777777775,6.557800560801541,3.0227527977605657,0,34.0,0.0,0.0,2.0,2.0,1,0,0.43814963,0,3,At-Risk
12365,221,2,641.38,22,0,29.15363636363636,6.465180028897591,3.4063055249763377,0,0.0,2.0,0.0,0.0,-2.0,0,1,0.77407277,1,1,Lost
12370,204,3,2806.41,125,85,20.19,7.940017629108557,3.0535293722802077,0,42.5,1.0,0.0,0.0,-1.0,0,0,0.4956912,0,1,Lost
12372,1,3,1298.04,34,224,24.962307692307693,7.169380809114136,3.2566457820417285,0,112.0,1.0,1.0,1.0,0.0,1,1,0.46241838,0,0,Loyal
